node_id,event_year,n_projects,treatment_group,treatment_label,project_ids,traffic_pre,traffic_at,traffic_post,traffic_post2,delta_pre_to_event,delta_pre_to_post,delta_pre_to_post2,rel_delta_pre_to_post
10_0208,2011,1,patching,"Patch Pot Holes - Hand Spread, Compacted with Truck",10_0208_20110301_4_1,214032.0,185004.0,196060.6,223179.0,-29028.0,-17971.399999999994,9147.0,-0.0839659490169694
10_0208,2012,1,patching,"Partial depth patching of PCC pavements at joints, Partial Depth Patching of PCC Pavement Other Than at Joint",10_0208_20120501_5_1,185004.0,196060.6,223179.0,212123.0,11056.600000000006,38175.0,27119.0,0.20634688979697735
10_0208,2014,1,patching,Skin Patching (hand tools/hot pot to apply liquid asphalt and aggregate),10_0208_20140601_6_1,223179.0,212123.0,220938.0,254759.0,-11056.0,-2241.0,31580.0,-0.010041267323538505
10_0209,1996,1,patching,Full Depth Transverse Joint Repair Patch,10_0209_19960419_2_1,0.0,84099.0,123324.0,131253.0,84099.0,123324.0,131253.0,
10_0209,2000,1,grinding,Grinding Surface,10_0209_20000601_3_1,138173.0,127399.0,155415.0,166127.0,-10774.0,17242.0,27954.0,0.12478559487019895
10_0210,1996,1,patching,Full Depth Transverse Joint Repair Patch,10_0210_19960501_2_1,0.0,82089.0,123324.0,131253.0,82089.0,123324.0,131253.0,
10_0210,2000,1,grinding,Grinding Surface,10_0210_20000601_3_1,138173.0,127399.0,155415.0,148945.5,-10774.0,17242.0,10772.5,0.12478559487019895
10_0210,2002,1,crack_sealing,"Transverse Joint Sealing, Lane-Shoulder Longitudinal Joint Sealing",10_0210_20020601_4_1,155415.0,148945.5,175038.0,186314.0,-6469.5,19623.0,30899.0,0.12626194382781586
10_0210,2014,1,patching,Skin Patching (hand tools/hot pot to apply liquid asphalt and aggregate),10_0210_20140601_5_1,223179.0,208981.2,220938.0,254759.0,-14197.799999999988,-2241.0,31580.0,-0.010041267323538505
10_0211,2006,1,crack_sealing,Lane-Shoulder Longitudinal Joint Sealing,10_0211_20060601_2_1,196834.0,165292.5,229538.0,229921.0,-31541.5,32704.0,33087.0,0.1661501569850737
10_0211,2011,1,patching,Partial Depth Patching of PCC Pavement Other Than at Joint,10_0211_20110301_3_1,214032.0,182407.0,209942.0,223179.0,-31625.0,-4090.0,9147.0,-0.019109292068475742
10_0211,2014,1,patching,Skin Patching (hand tools/hot pot to apply liquid asphalt and aggregate),10_0211_20140601_4_1,223179.0,204268.5,220938.0,254759.0,-18910.5,-2241.0,31580.0,-0.010041267323538505
10_0212,2000,1,grinding,Grinding Surface,10_0212_20000601_2_1,138173.0,117164.0,155415.0,166127.0,-21009.0,17242.0,27954.0,0.12478559487019895
10_0212,2014,1,patching,Skin Patching (hand tools/hot pot to apply liquid asphalt and aggregate),10_0212_20140601_3_1,223179.0,196414.0,220938.0,254759.0,-26765.0,-2241.0,31580.0,-0.010041267323538505
10_0259,2000,1,grinding,Grinding Surface,10_0259_20000601_2_1,138173.0,117164.0,155415.0,166127.0,-21009.0,17242.0,27954.0,0.12478559487019895
10_0260,2014,1,patching,Skin Patching (hand tools/hot pot to apply liquid asphalt and aggregate),10_0260_20140601_2_1,223179.0,180705.0,220938.0,254759.0,-42474.0,-2241.0,31580.0,-0.010041267323538505
10_1201,1988,1,unknown,Missing / not recorded,10_1201_19880901_1_1,53540.0,55684.0,57112.0,75090.0,2144.0,3572.0,21550.0,0.06671647366454987
10_1450,1988,1,unknown,Missing / not recorded,10_1450_19881201_1_1,192448.0,202742.0,164908.0,193732.0,10294.0,-27540.0,1284.0,-0.14310359161955438
10_1450,1998,2,asphalt_overlay,"AC Shoulder Restoration, Hot-Mix Recycled Asphalt Concrete Overlay | Crack Sealing",10_1450_19980601_2_1 | 10_1450_19981026_3_1,211074.0,112877.66666666667,215155.0,217814.0,-98196.33333333333,4081.0,6740.0,0.019334451424618853
10_1450,2008,1,crack_sealing,Crack Sealing,10_1450_20080201_4_1,232977.0,188201.0,175523.0,158323.0,-44776.0,-57454.0,-74654.0,-0.24660803426947725
10_1450,2010,1,patching,"Patch Pot Holes - Hand Spread, Compacted with Truck",10_1450_20100601_5_1,175523.0,158323.0,129228.75,206711.0,-17200.0,-46294.25,31188.0,-0.26375033471396914
10_1450,2011,1,asphalt_overlay,"AC Shoulder Restoration, Asphalt Concrete Overlay",10_1450_20110701_6_1,158323.0,129228.75,206711.0,189014.0,-29094.25,48388.0,30691.0,0.3056283673250254
10_4002,1988,1,unknown,Missing / not recorded,10_4002_19880901_1_1,27251.0,27781.0,28453.0,36854.0,530.0,1202.0,9603.0,0.04410847308355657
10_4002,1993,2,asphalt_overlay,"AC Shoulder Restoration, Asphalt Concrete Overlay | Full Depth Transverse Joint Repair Patch",10_4002_19930601_2_1 | 10_4002_19931028_3_1,38274.0,20398.333333333332,40894.0,41342.0,-17875.666666666668,2620.0,3068.0,0.0684537806343732
10_4002,2000,1,crack_sealing,Crack Sealing,10_4002_20000306_4_1,57204.0,53585.0,61431.0,62860.0,-3619.0,4227.0,5656.0,0.07389343402559262
10_5004,1988,1,unknown,Missing / not recorded,10_5004_19880901_1_1,364236.0,278879.0,283189.0,752456.0,-85357.0,-81047.0,388220.0,-0.22251232717249256
10_5005,1988,1,unknown,Missing / not recorded,10_5005_19880901_1_1,51571.0,53290.0,53558.0,69887.0,1719.0,1987.0,18316.0,0.038529406061546215
10_5005,1995,1,asphalt_overlay,Asphalt Concrete Overlay,10_5005_19950607_2_1,85901.0,43813.0,89778.0,94519.0,-42088.0,3877.0,8618.0,0.04513335118333896
10_5005,2008,1,crack_sealing,Crack Sealing,10_5005_20080201_3_1,123163.0,66542.5,65327.0,62955.0,-56620.5,-57836.0,-60208.0,-0.46958908113638026
10_5005,2012,1,asphalt_overlay,"AC Shoulder Restoration, Asphalt Concrete Overlay, Full Depth Patch of AC Pavement (removing damaged material, repairing supporting material, and repairing)",10_5005_20120409_4_1,59219.0,24177.0,64885.0,68322.0,-35042.0,5666.0,9103.0,0.09567875175197149
11_1400,1989,1,unknown,Missing / not recorded,11_1400_19890901_1_1,144423.0,146845.0,122282.5,243897.0,2422.0,-22140.5,99474.0,-0.1533031442360289
11_1400,1990,1,asphalt_overlay,Mill Off AC and Overlay with AC,11_1400_19900401_2_1,146845.0,122282.5,243897.0,242469.0,-24562.5,97052.0,95624.0,0.6609145697844666
12_0502,1987,1,unknown,Missing / not recorded,12_0502_19870101_1_1,67134.0,65813.0,64974.0,252893.0,-1321.0,-2160.0,185759.0,-0.03217445705603718
12_0502,1995,1,asphalt_overlay,"AC Shoulder Replacement, Mill Existing Pavement and Overlay with Hot-Mix Recycled AC",12_0502_19950404_2_1,33736.0,38354.5,50285.0,50034.0,4618.5,16549.0,16298.0,0.4905442257529049
12_0502,2014,1,asphalt_overlay,Mill Existing Pavement and Overlay with Hot-Mix Recycled AC,12_0502_20140724_3_1,35388.0,18136.333333333332,34371.0,33386.0,-17251.666666666668,-1017.0,-2002.0,-0.02873855544252289
12_0503,1987,1,unknown,Missing / not recorded,12_0503_19870101_1_1,67134.0,65813.0,64974.0,252893.0,-1321.0,-2160.0,185759.0,-0.03217445705603718
12_0503,1995,1,asphalt_overlay,"AC Shoulder Replacement, Mill Existing Pavement and Overlay with Hot-Mix Recycled AC",12_0503_19950404_2_1,33736.0,38354.5,50285.0,50034.0,4618.5,16549.0,16298.0,0.4905442257529049
12_0503,2014,1,asphalt_overlay,Mill Existing Pavement and Overlay with Hot-Mix Recycled AC,12_0503_20140724_3_1,35388.0,18136.333333333332,34371.0,33386.0,-17251.666666666668,-1017.0,-2002.0,-0.02873855544252289
12_0504,1987,1,unknown,Missing / not recorded,12_0504_19870101_1_1,67134.0,65813.0,64974.0,252893.0,-1321.0,-2160.0,185759.0,-0.03217445705603718
12_0504,1995,1,asphalt_overlay,"AC Shoulder Replacement, Mill Off AC and Overlay with AC",12_0504_19950404_2_1,33736.0,38354.5,50285.0,50034.0,4618.5,16549.0,16298.0,0.4905442257529049
12_0504,2014,1,asphalt_overlay,Mill Existing Pavement and Overlay with Hot-Mix Recycled AC,12_0504_20140724_3_1,35388.0,18136.333333333332,34371.0,33386.0,-17251.666666666668,-1017.0,-2002.0,-0.02873855544252289
12_0505,1987,1,unknown,Missing / not recorded,12_0505_19870101_1_1,67134.0,65813.0,64974.0,252893.0,-1321.0,-2160.0,185759.0,-0.03217445705603718
12_0505,1995,1,asphalt_overlay,"AC Shoulder Replacement, Mill Off AC and Overlay with AC",12_0505_19950404_2_1,33736.0,38354.5,50285.0,50034.0,4618.5,16549.0,16298.0,0.4905442257529049
12_0505,2014,1,asphalt_overlay,Mill Existing Pavement and Overlay with Hot-Mix Recycled AC,12_0505_20140724_3_1,35388.0,18136.333333333332,34371.0,33386.0,-17251.666666666668,-1017.0,-2002.0,-0.02873855544252289
12_0506,1987,1,unknown,Missing / not recorded,12_0506_19870101_1_1,67134.0,65813.0,64974.0,252893.0,-1321.0,-2160.0,185759.0,-0.03217445705603718
12_0506,1995,1,asphalt_overlay,"AC Shoulder Replacement, Mill Off AC and Overlay with AC",12_0506_19950404_2_1,33736.0,38354.5,50285.0,50034.0,4618.5,16549.0,16298.0,0.4905442257529049
12_0506,2014,1,asphalt_overlay,Mill Existing Pavement and Overlay with Hot-Mix Recycled AC,12_0506_20140724_3_1,35388.0,18136.333333333332,34371.0,33386.0,-17251.666666666668,-1017.0,-2002.0,-0.02873855544252289
12_0507,1987,1,unknown,Missing / not recorded,12_0507_19870101_1_1,67134.0,65813.0,64974.0,252893.0,-1321.0,-2160.0,185759.0,-0.03217445705603718
12_0507,1995,1,asphalt_overlay,"AC Shoulder Replacement, Mill Off AC and Overlay with AC",12_0507_19950404_2_1,33736.0,38354.5,50285.0,50034.0,4618.5,16549.0,16298.0,0.4905442257529049
12_0507,2014,1,asphalt_overlay,Mill Existing Pavement and Overlay with Hot-Mix Recycled AC,12_0507_20140724_3_1,35388.0,18136.333333333332,34371.0,33386.0,-17251.666666666668,-1017.0,-2002.0,-0.02873855544252289
12_0508,1987,1,unknown,Missing / not recorded,12_0508_19870101_1_1,67134.0,65813.0,64974.0,252893.0,-1321.0,-2160.0,185759.0,-0.03217445705603718
12_0508,1995,1,asphalt_overlay,"AC Shoulder Replacement, Mill Existing Pavement and Overlay with Hot-Mix Recycled AC",12_0508_19950404_2_1,33736.0,38354.5,50285.0,50034.0,4618.5,16549.0,16298.0,0.4905442257529049
12_0508,2014,1,asphalt_overlay,Mill Existing Pavement and Overlay with Hot-Mix Recycled AC,12_0508_20140724_3_1,35388.0,18136.333333333332,34371.0,33386.0,-17251.666666666668,-1017.0,-2002.0,-0.02873855544252289
12_0509,1987,1,unknown,Missing / not recorded,12_0509_19870101_1_1,67134.0,65813.0,64974.0,252893.0,-1321.0,-2160.0,185759.0,-0.03217445705603718
12_0509,1995,1,asphalt_overlay,"AC Shoulder Replacement, Mill Existing Pavement and Overlay with Hot-Mix Recycled AC",12_0509_19950404_2_1,33736.0,38354.5,50285.0,50034.0,4618.5,16549.0,16298.0,0.4905442257529049
12_0509,2014,1,asphalt_overlay,Mill Existing Pavement and Overlay with Hot-Mix Recycled AC,12_0509_20140724_3_1,35388.0,18136.333333333332,34371.0,33386.0,-17251.666666666668,-1017.0,-2002.0,-0.02873855544252289
12_0561,1987,1,unknown,Missing / not recorded,12_0561_19870101_1_1,67134.0,65813.0,64974.0,252893.0,-1321.0,-2160.0,185759.0,-0.03217445705603718
12_0561,1995,1,asphalt_overlay,"AC Shoulder Replacement, Mill Existing Pavement and Overlay with Hot-Mix Recycled AC",12_0561_19950404_2_1,33736.0,38354.5,50285.0,50034.0,4618.5,16549.0,16298.0,0.4905442257529049
12_0561,2014,1,asphalt_overlay,Mill Existing Pavement and Overlay with Hot-Mix Recycled AC,12_0561_20140724_3_1,35388.0,18136.333333333332,34371.0,33386.0,-17251.666666666668,-1017.0,-2002.0,-0.02873855544252289
12_0562,1987,1,unknown,Missing / not recorded,12_0562_19870101_1_1,67134.0,65813.0,64974.0,252893.0,-1321.0,-2160.0,185759.0,-0.03217445705603718
12_0562,1995,1,asphalt_overlay,"AC Shoulder Replacement, Mill Off AC and Overlay with AC",12_0562_19950404_2_1,33736.0,38354.5,50285.0,50034.0,4618.5,16549.0,16298.0,0.4905442257529049
12_0562,2014,1,asphalt_overlay,Mill Existing Pavement and Overlay with Hot-Mix Recycled AC,12_0562_20140724_3_1,35388.0,18136.333333333332,34371.0,33386.0,-17251.666666666668,-1017.0,-2002.0,-0.02873855544252289
12_0563,1987,1,unknown,Missing / not recorded,12_0563_19870101_1_1,67134.0,65813.0,64974.0,252893.0,-1321.0,-2160.0,185759.0,-0.03217445705603718
12_0563,1995,1,asphalt_overlay,"AC Shoulder Replacement, Mill Off AC and Overlay with AC",12_0563_19950404_2_1,33736.0,38354.5,50285.0,50034.0,4618.5,16549.0,16298.0,0.4905442257529049
12_0563,2014,1,asphalt_overlay,Mill Existing Pavement and Overlay with Hot-Mix Recycled AC,12_0563_20140724_3_1,35388.0,18136.333333333332,34371.0,33386.0,-17251.666666666668,-1017.0,-2002.0,-0.02873855544252289
12_0564,1987,1,unknown,Missing / not recorded,12_0564_19870101_1_1,67134.0,65813.0,64974.0,252893.0,-1321.0,-2160.0,185759.0,-0.03217445705603718
12_0564,1995,1,asphalt_overlay,"AC Shoulder Replacement, Mill Existing Pavement and Overlay with Hot-Mix Recycled AC",12_0564_19950404_2_1,33736.0,38354.5,50285.0,50034.0,4618.5,16549.0,16298.0,0.4905442257529049
12_0564,2014,1,asphalt_overlay,Mill Existing Pavement and Overlay with Hot-Mix Recycled AC,12_0564_20140724_3_1,35388.0,18136.333333333332,34371.0,33386.0,-17251.666666666668,-1017.0,-2002.0,-0.02873855544252289
12_0565,1987,1,unknown,Missing / not recorded,12_0565_19870101_1_1,67134.0,65813.0,64974.0,252893.0,-1321.0,-2160.0,185759.0,-0.03217445705603718
12_0565,1995,1,asphalt_overlay,"AC Shoulder Replacement, Mill Existing Pavement and Overlay with Hot-Mix Recycled AC",12_0565_19950404_2_1,33736.0,38354.5,50285.0,50034.0,4618.5,16549.0,16298.0,0.4905442257529049
12_0565,2014,1,asphalt_overlay,Mill Existing Pavement and Overlay with Hot-Mix Recycled AC,12_0565_20140724_3_1,35388.0,18136.333333333332,34371.0,33386.0,-17251.666666666668,-1017.0,-2002.0,-0.02873855544252289
12_0566,1987,1,unknown,Missing / not recorded,12_0566_19870101_1_1,67134.0,65813.0,64974.0,252893.0,-1321.0,-2160.0,185759.0,-0.03217445705603718
12_0566,1995,1,asphalt_overlay,"AC Shoulder Replacement, Mill Off AC and Overlay with AC",12_0566_19950404_2_1,33736.0,38354.5,50285.0,50034.0,4618.5,16549.0,16298.0,0.4905442257529049
12_0566,2014,1,asphalt_overlay,Mill Existing Pavement and Overlay with Hot-Mix Recycled AC,12_0566_20140724_3_1,35388.0,18136.333333333332,34371.0,33386.0,-17251.666666666668,-1017.0,-2002.0,-0.02873855544252289
12_0901,1995,1,unknown,Missing / not recorded,12_0901_19950101_1_1,603083.0,623225.0,464336.5,683647.0,20142.0,-138746.5,80564.0,-0.23006203126269517
12_0901,1996,1,asphalt_overlay,Mill Off AC and Overlay with AC,12_0901_19960723_2_1,623225.0,464336.5,683647.0,700747.0,-158888.5,60422.0,77522.0,0.09695053953227165
12_0902,1995,1,unknown,Missing / not recorded,12_0902_19950101_1_1,603083.0,623225.0,463457.0,683647.0,20142.0,-139626.0,80564.0,-0.2315203711595253
12_0902,1996,1,asphalt_overlay,Mill Off AC and Overlay with AC,12_0902_19960724_2_1,623225.0,463457.0,683647.0,700747.0,-159768.0,60422.0,77522.0,0.09695053953227165
12_0902,2004,1,patching,Manual Premix Spot Patch (hand spreading and compacting with roller),12_0902_20040615_3_1,785624.0,708745.3333333334,895475.0,871304.0,-76878.66666666663,109851.0,85680.0,0.13982643096443081
12_0903,1995,1,unknown,Missing / not recorded,12_0903_19950101_1_1,603083.0,623225.0,464336.5,683647.0,20142.0,-138746.5,80564.0,-0.23006203126269517
12_0903,1996,1,asphalt_overlay,Mill Off AC and Overlay with AC,12_0903_19960723_2_1,623225.0,464336.5,683647.0,700747.0,-158888.5,60422.0,77522.0,0.09695053953227165
12_0959,1995,1,unknown,Missing / not recorded,12_0959_19950101_1_1,603083.0,623225.0,463457.0,683647.0,20142.0,-139626.0,80564.0,-0.2315203711595253
12_0959,1996,1,asphalt_overlay,Mill Off AC and Overlay with AC,12_0959_19960724_2_1,623225.0,463457.0,683647.0,700747.0,-159768.0,60422.0,77522.0,0.09695053953227165
12_1030,1987,1,unknown,Missing / not recorded,12_1030_19870101_1_1,67134.0,65813.0,64974.0,252893.0,-1321.0,-2160.0,185759.0,-0.03217445705603718
12_1030,1993,1,shoulder_restoration,AC Shoulder Replacement,12_1030_19930615_2_1,35246.0,23263.0,33736.0,43954.0,-11983.0,-1510.0,8708.0,-0.042841740906769565
12_1030,2014,1,asphalt_overlay,Mill Existing Pavement and Overlay with Hot-Mix Recycled AC,12_1030_20140724_3_1,35388.0,18136.333333333332,34371.0,33386.0,-17251.666666666668,-1017.0,-2002.0,-0.02873855544252289
12_1060,1987,1,unknown,Missing / not recorded,12_1060_19870101_1_1,74271.0,74271.0,84078.0,49726.0,0.0,9807.0,-24545.0,0.1320434624550632
12_1370,1987,1,unknown,Missing / not recorded,12_1370_19870101_1_1,35474.0,44899.0,42507.0,58203.0,9425.0,7033.0,22729.0,0.19825787900997913
12_1370,1996,1,patching,"AC Shoulder Replacement, Manual Premix Spot Patch (hand spreading and compacting with roller)",12_1370_19960801_2_1,27115.0,20078.5,31378.0,35532.666666666664,-7036.5,4263.0,8417.666666666664,0.1572192513368984
12_1370,1998,1,patching,"Patch Pot Holes - Hand Spread, Compacted with Truck",12_1370_19980915_3_1,31378.0,35532.666666666664,34961.25,26417.0,4154.666666666664,3583.25,-4961.0,0.11419625215118873
12_1370,1999,1,patching,"Full Depth Patch of AC Pavement (removing damaged material, repairing supporting material, and repairing)",12_1370_19990915_4_1,35532.666666666664,34961.25,26417.0,28099.0,-571.4166666666642,-9115.666666666664,-7433.666666666664,-0.2565432747331094
12_1370,2000,1,asphalt_overlay,"Asphalt Concrete Overlay, Mill Existing Pavement and Overlay with Hot-Mix Recycled AC",12_1370_20000815_5_1,34961.25,26417.0,28099.0,48064.0,-8544.25,-6862.25,13102.75,-0.19628159748292753
12_3804,1987,1,unknown,Missing / not recorded,12_3804_19870101_1_1,269677.0,291689.0,313626.0,517713.0,22012.0,43949.0,248036.0,0.16296903332505183
12_3811,1987,1,unknown,Missing / not recorded,12_3811_19870101_1_1,292331.0,307779.0,325203.0,466856.0,15448.0,32872.0,174525.0,0.1124478758667401
12_3811,1995,1,crack_sealing,Crack Sealing,12_3811_19950915_2_1,499108.0,349210.5,584258.0,573737.0,-149897.5,85150.0,74629.0,0.17060435817498418
12_3811,2003,1,patching,"Patch Pot Holes - Hand Spread, Compacted with Truck",12_3811_20030616_3_1,675726.0,590608.0,808364.0,824510.0,-85118.0,132638.0,148784.0,0.1962896203490764
12_3995,1987,1,unknown,Missing / not recorded,12_3995_19870101_1_1,156178.0,166022.0,177957.0,188763.0,9844.0,21779.0,32585.0,0.1394498584947944
12_3996,1987,1,unknown,Missing / not recorded,12_3996_19870101_1_1,62455.0,60231.0,58178.0,86820.0,-2224.0,-4277.0,24365.0,-0.06848130654070932
12_3997,1987,1,unknown,Missing / not recorded,12_3997_19870101_1_1,190968.0,186489.0,183685.0,180470.0,-4479.0,-7283.0,-10498.0,-0.038137279544216834
12_3997,1995,1,asphalt_overlay,"AC Shoulder Replacement, Asphalt Concrete Overlay, Hot-Mix Recycled Asphalt Concrete Overlay",12_3997_19950207_2_1,141279.0,85201.0,197270.0,191390.0,-56078.0,55991.0,50111.0,0.39631509283049854
12_4000,1987,1,unknown,Missing / not recorded,12_4000_19870101_1_1,181335.0,200406.0,205485.0,144536.0,19071.0,24150.0,-36799.0,0.13317892298784018
12_4000,1997,1,shoulder_restoration,AC Shoulder Replacement,12_4000_19970916_2_1,42402.0,36904.5,63464.0,59339.0,-5497.5,21062.0,16937.0,0.4967218527427952
12_4000,2011,1,crack_sealing,"AC Shoulder Restoration, Grinding Surface, Transverse Joint Sealing, Lane-Shoulder Longitudinal Joint Sealing, PCC Slab Replacement",12_4000_20110915_3_1,47757.0,47682.0,61470.0,60689.0,-75.0,13713.0,12932.0,0.28714115208241725
12_4057,1987,1,unknown,Missing / not recorded,12_4057_19870131_1_1,119580.0,276026.0,302693.0,521499.0,156446.0,183113.0,401919.0,1.5313012209399566
12_4057,2011,1,reconstruction_or_major_rehab,PCC Slab Replacement,12_4057_20110701_2_1,545075.0,657714.5,667739.5,674065.0,112639.5,122664.5,128990.0,0.225041508049351
12_4096,1987,1,unknown,Missing / not recorded,12_4096_19870101_1_1,26263.0,25791.0,26335.0,25791.0,-472.0,72.0,-472.0,0.0027414994478924723
12_4096,2003,1,asphalt_overlay,"AC Shoulder Replacement, Asphalt Concrete Overlay, Hot-Mix Recycled Asphalt Concrete Overlay",12_4096_20030221_2_1,57115.0,29200.0,67711.0,52763.0,-27915.0,10596.0,-4352.0,0.18552044121509237
12_4097,1987,1,unknown,Missing / not recorded,12_4097_19870101_1_1,353851.0,468215.0,468333.0,381777.0,114364.0,114482.0,27926.0,0.3235316559794942
12_4099,1987,1,unknown,Missing / not recorded,12_4099_19870101_1_1,59704.0,58403.0,56344.0,54881.0,-1301.0,-3360.0,-4823.0,-0.056277636339273754
12_4100,1987,1,unknown,Missing / not recorded,12_4100_19870101_1_1,55865.0,48316.0,51413.0,36644.0,-7549.0,-4452.0,-19221.0,-0.07969211491989618
